Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
155,SV.ROK UHF,438.9,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
156,Krvavec KOCA UHF,438.925,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
157,LAZE UHF,439,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
158,Lisca UHF,439.075,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
159,Kum UHF,439.125,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
160,MALA KOPA UHF,439.15,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
161,PLANINA UHF,439.175,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
162,CRETEZ UHF,439.2,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
163,Pohorje HB UHF,439.2,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
164,Pohorje RS UHF,439.225,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
165,VOJSKO UHF,439.225,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
166,Mrzlica UHF,439.275,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
167,MALIC UHF,439.3,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
168,ROGASKA UHF,439.325,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
169,STRUSKA UHF,439.325,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
170,Urslja G. U,439.375,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
171,KALOBJE UHF,438.425,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
172,V. Planina UHF,438.925,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
173,Kobla UHF,439.025,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
174,Nanos UHF,438.7,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
175,Ermanovec FM,438.725,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
176,KOKOS FM,438.5,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
177,GoraDornberk,438.6,,7.6,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
178,PMR01,446.00625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
179,PMR02,446.01875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
180,PMR03,446.03125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
181,PMR04,446.04375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
182,PMR05,446.05625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
183,PMR06,446.06875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
184,PMR07,446.08125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
185,PMR08,446.09375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
186,PMR09,446.10625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
187,PMR10,446.11875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
188,PMR11,446.13125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
189,PMR12,446.14375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
190,PMR13,446.15625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
191,PMR14,446.16875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
192,PMR15,446.18125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
193,PMR16,446.19375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,1.0W,,,,,
194,Marine 1,156.05,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
195,Marine 2,156.1,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
196,Marine 3,156.15,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
197,Marine 4,156.2,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
198,Marine 5,156.25,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
199,Marine 6,156.3,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
200,Marine 7,156.35,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
201,Marine 8,156.4,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
202,Marine 9,156.45,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
203,Marine 10,156.5,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
204,Marine 11,156.55,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
205,Marine 12,156.6,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
206,Marine 13,156.65,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
207,Marine 14,156.7,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
208,Marine 15,156.75,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
209,Marine 16,156.8,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
210,Marine 17,156.85,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
211,Marine 18,156.9,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
212,Marine 19,156.95,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
213,Marine 20,157,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
214,Marine 21,157.05,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
215,Marine 22,157.1,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
216,Marine 23,157.15,,-4.59999999999999,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
217,Marine 24,157.2,,-4.60000000000002,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,1.0W,,,,,
